location_id,location_name,year,sdi
37,Kyrgyzstan,1999,0.545868117669475
12,Lao People's Democratic Republic,1990,0.279022935694397
12,Lao People's Democratic Republic,1991,0.283407681619808
12,Lao People's Democratic Republic,1992,0.287833991350106
12,Lao People's Democratic Republic,1993,0.292415178722534
12,Lao People's Democratic Republic,1994,0.297381299154913
12,Lao People's Democratic Republic,1995,0.302616565724006
12,Lao People's Democratic Republic,1996,0.308189899496909
12,Lao People's Democratic Republic,1997,0.314285887721021
12,Lao People's Democratic Republic,1998,0.32081671320246
12,Lao People's Democratic Republic,1999,0.328248444666823
146,Lebanon,1990,0.563510243572203
146,Lebanon,1991,0.566184700198447
146,Lebanon,1992,0.568952232717349
146,Lebanon,1993,0.571728627684999
146,Lebanon,1994,0.574691327180387
146,Lebanon,1995,0.578198304259481
146,Lebanon,1996,0.582618982186795
146,Lebanon,1997,0.587499734786502
146,Lebanon,1998,0.593144947277092
146,Lebanon,1999,0.598522975106369
13,Malaysia,1990,0.568850087286537
13,Malaysia,1991,0.57441136888865
13,Malaysia,1992,0.580815840834753
13,Malaysia,1993,0.588912768431145
13,Malaysia,1994,0.597799274358909
13,Malaysia,1995,0.606701143254597
13,Malaysia,1996,0.616198391785185
13,Malaysia,1997,0.626721414315142
13,Malaysia,1998,0.636652490421014
13,Malaysia,1999,0.645847709467907
14,Maldives,1990,0.334014369045006
14,Maldives,1991,0.346418914467143
14,Maldives,1992,0.359805599711245
14,Maldives,1993,0.373840836649158
14,Maldives,1994,0.388631890426109
14,Maldives,1995,0.403872292634628
14,Maldives,1996,0.4196710815075
14,Maldives,1997,0.435804107761317
14,Maldives,1998,0.451533926710242
14,Maldives,1999,0.466229856689434
38,Mongolia,1990,0.47447082494515
38,Mongolia,1991,0.480874042814011
38,Mongolia,1992,0.486971455682437
38,Mongolia,1993,0.492827422771839
38,Mongolia,1994,0.49909305038732
38,Mongolia,1995,0.506305369756048
38,Mongolia,1996,0.513373187261402
38,Mongolia,1997,0.520692186586942
38,Mongolia,1998,0.527432747247107
38,Mongolia,1999,0.533993077227556
15,Myanmar,1990,0.325768672987006
15,Myanmar,1991,0.328462163916189
15,Myanmar,1992,0.331951956110164
15,Myanmar,1993,0.335891684326879
15,Myanmar,1994,0.340469033948725
15,Myanmar,1995,0.345684677055867
15,Myanmar,1996,0.351249662666171
15,Myanmar,1997,0.356933879921941
15,Myanmar,1998,0.362666601444347
15,Myanmar,1999,0.368986902248888
164,Nepal,1990,0.208796103326191
164,Nepal,1991,0.214736103180587
164,Nepal,1992,0.220839988954415
164,Nepal,1993,0.227258081123335
164,Nepal,1994,0.234203404244112
164,Nepal,1995,0.24110780073369
164,Nepal,1996,0.248311299033416
