population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),165,Pakistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,32173.627734011206,42731.244980651645,22914.997691671015
1,All Population,2,DALYs (Disability-Adjusted Life Years),165,Pakistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,28.891749732697505,38.37243490085143,20.57754829223789
1,All Population,2,DALYs (Disability-Adjusted Life Years),165,Pakistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,54.92068798084574,73.33772320840308,38.992306563020946
1,All Population,2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,6665.34192448652,10908.85475440236,4495.5972770434255
1,All Population,2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,31.941345039412433,52.27691206884987,21.54359452389971
1,All Population,2,DALYs (Disability-Adjusted Life Years),7,Democratic People's Republic of Korea,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,39.8487661807968,65.58175167769319,26.74648060940983
1,All Population,2,DALYs (Disability-Adjusted Life Years),143,Iraq,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,1796.1944081349325,2496.874775146545,1290.962875919656
1,All Population,2,DALYs (Disability-Adjusted Life Years),143,Iraq,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,9.683121136914872,13.460425442786956,6.959463771947667
1,All Population,2,DALYs (Disability-Adjusted Life Years),143,Iraq,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,21.33513104945511,29.781882344650068,15.138541053372547
1,All Population,2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,1259.1149176306851,1901.4013463585031,830.8357423525605
