year,age_id,age_name,countries_with_dalys,countries_with_vlw,total_dalys,total_dalys_lower,total_dalys_upper,total_economic_burden_vlw,total_economic_burden_vlw_lower,total_economic_burden_vlw_upper,total_economic_burden_vlw_trillion,total_economic_burden_vlw_lower_trillion,total_economic_burden_vlw_upper_trillion
2011,13,40-44 years,48,46,82162.432773079,62442.092991138896,107546.8050759985,4295509186.647449,3190567777.949142,5978266128.364337,0.004295509186647449,0.003190567777949142,0.005978266128364337
2011,14,45-49 years,48,46,128294.5860742093,97797.23692182812,170016.29618069375,7935729515.290179,5917467303.029936,11151202422.735327,0.00793572951529018,0.005917467303029936,0.011151202422735327
2011,15,50-54 years,48,46,175212.04467968261,134853.49585942103,232497.939127373,13422240261.78821,10117073632.072563,18999787675.46292,0.01342224026178821,0.010117073632072563,0.018999787675462922
2011,16,55-59 years,48,46,234490.32040681114,180890.38816849544,312481.235771867,22180243296.672127,16812206504.099087,31489491021.952225,0.022180243296672127,0.016812206504099085,0.031489491021952226
2011,17,60-64 years,48,46,295511.8630691132,226105.72731577436,375488.0666623439,35805600539.8,27152233761.858753,48323269249.086494,0.0358056005398,0.027152233761858754,0.048323269249086497
2011,18,65-69 years,48,46,279209.8103105897,216870.86480042664,361632.0285899662,43797920795.25671,33379474188.098114,60338472527.24866,0.043797920795256705,0.03337947418809811,0.06033847252724866
2011,19,70-74 years,48,46,265971.68503358006,207103.26680560783,334062.2034212374,59165348379.684235,44597308924.0407,79768916741.33374,0.059165348379684235,0.0445973089240407,0.07976891674133374
2011,20,75-79 years,48,46,217440.228209403,169883.08696855383,273032.5085067705,72151365431.25385,53955683754.52926,97796956029.11241,0.07215136543125385,0.053955683754529256,0.09779695602911241
2011,30,80-84 years,48,46,143401.01912680693,109779.73267973609,174704.88947613008,74219135782.91763,52671389543.80596,99676532824.50111,0.07421913578291764,0.052671389543805965,0.09967653282450112
2011,31,85-89 years,48,46,73244.58888015641,53568.70537148545,91404.66862764354,63303161948.76994,41472347817.63746,89336876703.63107,0.06330316194876995,0.04147234781763746,0.08933687670363108
2011,32,90-94 years,48,46,29520.149820697396,20926.273375021505,36957.716177562965,42475663883.93259,26858980126.76574,61749238121.756325,0.042475663883932584,0.026858980126765738,0.061749238121756325
2011,235,95+ years,48,46,11048.942319845188,7533.98320347214,14373.963499303874,25863836256.5764,15485218863.236553,39819794610.096985,0.0258638362565764,0.015485218863236554,0.039819794610096985
2012,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
2012,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
2012,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
2012,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
2012,9,20-24 years,48,46,5746.5542869480405,4070.5611409903704,7819.1776479649625,213437665.83786714,150290195.41933456,297706278.35874784,2.1343766583786715e-4,1.5029019541933455e-4,2.9770627835874785e-4
2012,10,25-29 years,48,46,10122.580673148826,7419.7319239564185,13543.456282109806,425335096.56427944,307020812.7707168,590221669.8330673,4.2533509656427946e-4,3.070208127707168e-4,5.902216698330673e-4
2012,11,30-34 years,48,46,22047.308860047568,16453.351616273616,29644.240775781796,972649729.0835727,710195079.7759424,1365330350.291348,9.726497290835727e-4,7.101950797759424e-4,0.001365330350291348
2012,12,35-39 years,48,46,44344.27218742692,32312.733413729773,59186.27770184825,2110149026.0106034,1515065530.1728258,2967739463.1392193,0.0021101490260106034,0.001515065530172826,0.0029677394631392193
2012,13,40-44 years,48,46,81131.1788348129,60943.546157188444,107677.4340920809,4480951909.886542,3302564025.192399,6322058535.121438,0.004480951909886542,0.003302564025192399,0.006322058535121438
2012,14,45-49 years,48,46,129692.2042178623,98899.39542789766,171103.5880806132,8486858657.057373,6325643227.195113,11863334082.378515,0.008486858657057374,0.006325643227195113,0.011863334082378515
2012,15,50-54 years,48,46,178617.1413257943,137591.5889149118,239449.51415310873,14350484763.10676,10816053843.425205,20486900857.755135,0.01435048476310676,0.010816053843425205,0.020486900857755133
2012,16,55-59 years,48,46,233204.1327712434,179350.70449822882,311855.86724496813,23033764667.246796,17344310785.78375,32944806249.395878,0.023033764667246794,0.01734431078578375,0.03294480624939588
2012,17,60-64 years,48,46,300791.2781634015,229317.13494198656,382659.3225311164,38165134688.153,28716619136.33187,51776985631.48306,0.038165134688153,0.02871661913633187,0.051776985631483065
2012,18,65-69 years,48,46,285453.5464263314,221249.18678648316,369142.25431480556,47028101398.8833,35605558477.76409,64873352596.32732,0.047028101398883304,0.035605558477764095,0.06487335259632732
2012,19,70-74 years,48,46,262896.9206047955,204098.24305108935,331629.2622663054,61583012057.43056,46193041746.85956,83371986186.66833,0.06158301205743056,0.04619304174685956,0.08337198618666833
2012,20,75-79 years,48,46,218555.72787592743,171906.05725822187,276551.7593902535,75782472815.15103,56786874348.67988,103770656282.87764,0.07578247281515103,0.05678687434867988,0.10377065628287764
2012,30,80-84 years,48,46,148061.95759221507,113904.99396203403,181763.80466054956,79421012549.30823,56492238228.85286,107521467847.97957,0.07942101254930822,0.05649223822885286,0.10752146784797957
2012,31,85-89 years,48,46,77452.33579378457,56799.55226865929,96353.75703609044,69177739840.57932,45435688106.57789,96981453263.5679,0.06917773984057932,0.04543568810657789,0.0969814532635679
2012,32,90-94 years,48,46,31652.343296493233,22642.019872021763,39536.893324122095,46923518594.88403,29890635450.68329,68386711818.607506,0.046923518594884035,0.029890635450683288,0.0683867118186075
2012,235,95+ years,48,46,11880.268870196014,8133.476651171343,15352.39851353663,28583463635.640892,17173046844.676493,43618384840.454285,0.02858346363564089,0.017173046844676493,0.043618384840454286
2013,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
2013,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
2013,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
2013,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
2013,9,20-24 years,48,46,5575.019121607189,3916.378688717941,7590.793005713574,207979157.25157535,145207980.2034623,292395034.66983545,2.0797915725157535e-4,1.452079802034623e-4,2.9239503466983545e-4
2013,10,25-29 years,48,46,10113.13567458608,7482.638410320741,13623.049440186503,431848016.9562123,313909048.1771563,602636757.4776976,4.318480169562123e-4,3.1390904817715635e-4,6.026367574776976e-4
2013,11,30-34 years,48,46,21900.04874104239,16348.396039335243,29259.884503747497,981880501.3772658,721398409.8722124,1377384652.1611578,9.818805013772657e-4,7.213984098722124e-4,0.001377384652161158
2013,12,35-39 years,48,46,43124.826591870165,31576.565864187287,57523.197806640885,2089949764.6322815,1508969172.6527948,2951175586.4523563,0.0020899497646322813,0.0015089691726527948,0.002951175586452356
2013,13,40-44 years,48,46,80173.98333381792,59707.66566685655,107476.9657057524,4542300192.3956785,3319675567.747408,6479075671.970222,0.004542300192395678,0.003319675567747408,0.0064790756719702225
2013,14,45-49 years,48,46,130867.8443198501,99855.27247910495,174557.4175429289,8753303776.005133,6525507565.690389,12366200099.657032,0.008753303776005132,0.0065255075656903885,0.012366200099657032
2013,15,50-54 years,48,46,183751.47370304144,141546.49897218216,246223.27355308557,15091579050.30953,11374825180.87208,21588497900.422535,0.01509157905030953,0.01137482518087208,0.021588497900422533
2013,16,55-59 years,48,46,232278.3022355845,178951.96544519288,311435.88965198305,23426396646.66061,17649704060.02169,33529107808.662777,0.02342639664666061,0.01764970406002169,0.03352910780866278
2013,17,60-64 years,48,46,306869.90123575064,235611.2033611603,395556.82104406913,39672246070.01668,30028628030.23074,54555496030.58458,0.03967224607001668,0.03002862803023074,0.05455549603058458
2013,18,65-69 years,48,46,290249.52687901305,227152.33734476642,375204.4691743512,49769896606.824135,38053133181.30829,68584673643.34003,0.049769896606824134,0.03805313318130829,0.06858467364334003
2013,19,70-74 years,48,46,258545.10827817928,204043.32260698956,327786.72425403487,62790507548.59327,47694374105.09619,85278191978.2557,0.06279050754859326,0.04769437410509619,0.0852781919782557
2013,20,75-79 years,48,46,215824.1317247604,171170.41218120867,273246.2001917238,77527369533.34601,58380908713.842094,106402116338.73003,0.077527369533346,0.05838090871384209,0.10640211633873002
2013,30,80-84 years,48,46,150797.57861559445,116309.07077264684,184860.69457780488,83715875678.82614,59810478548.97005,112959706317.59596,0.08371587567882614,0.05981047854897005,0.11295970631759596
2013,31,85-89 years,48,46,80309.94742651434,59353.333851742296,101307.35649107613,74241209404.28278,49124551695.584366,104910159035.35236,0.07424120940428278,0.04912455169558436,0.10491015903535236
2013,32,90-94 years,48,46,33161.58919475528,23731.68761569721,41688.29850936166,51100277000.38818,32512663323.017426,75030917670.8356,0.05110027700038818,0.03251266332301742,0.0750309176708356
2013,235,95+ years,48,46,12374.90871393392,8409.606750890913,15847.785184892771,30989040387.386925,18373632219.2522,46922822200.837845,0.030989040387386924,0.0183736322192522,0.04692282220083784
2014,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
2014,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
2014,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
2014,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
