location_id,location_name,country_code,asia_subregion,year,age_id,age_name,dalys,dalys_lower,dalys_upper,economic_burden_vlw,economic_burden_vlw_lower,economic_burden_vlw_upper,economic_burden_vlw_trillion,economic_burden_vlw_lower_trillion,economic_burden_vlw_upper_trillion
40,Turkmenistan,TKM,Central Asia,2016,32,90-94 years,1.3925703703300047,1.107207342941888,1.7267393182640207,809398.787747656,549249.0424083433,1199379.8457583324,8.0939878774765595e-07,5.492490424083432e-7,1.1993798457583325e-6
40,Turkmenistan,TKM,Central Asia,2016,235,95+ years,0.3761684513812219,0.2539414473419233,0.4673547161854507,244122.4680373834,137254.6070184679,367955.3755621145,2.4412246803738337e-7,1.372546070184679e-7,3.6795537556211454e-7
40,Turkmenistan,TKM,Central Asia,2017,1,<5 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2017,6,5-9 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2017,7,10-14 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2017,8,15-19 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2017,9,20-24 years,2.559274055921329,2.1959670805932334,2.9669820563973657,122299.92147352255,100283.8900392587,149212.91143340876,1.2229992147352255e-7,1.0028389003925869e-7,1.4921291143340876e-7
40,Turkmenistan,TKM,Central Asia,2017,10,25-29 years,5.389848744045186,4.393419072814969,6.414321655792252,285576.060911581,221797.2176532829,358940.8253426953,2.85576060911581e-7,2.217972176532829e-7,3.589408253426953e-7
40,Turkmenistan,TKM,Central Asia,2017,11,30-34 years,9.28231692484006,7.562548207559105,11.11094860395404,550247.0997732403,425682.7865315917,698617.9766838918,5.502470997732403e-7,4.2568278653159166e-7,6.986179766838918e-7
40,Turkmenistan,TKM,Central Asia,2017,12,35-39 years,17.811864804260644,14.746799195482051,20.911240329715337,1194413.7390544997,935866.6576775514,1494656.921936177,1.1944137390544997e-6,9.358666576775514e-7,1.494656921936177e-6
40,Turkmenistan,TKM,Central Asia,2017,13,40-44 years,33.62601161983967,28.141276546448864,40.07977996054623,2582469.6898392844,2038615.2888625485,3296472.652904942,2.5824696898392846e-6,2.0386152888625487e-6,3.296472652904942e-6
40,Turkmenistan,TKM,Central Asia,2017,14,45-49 years,59.13969907151572,50.86362298276452,69.10890649661286,5274399.385863698,4262072.215550846,6637833.497528501,5.274399385863698e-6,4.262072215550847e-6,6.637833497528501e-6
40,Turkmenistan,TKM,Central Asia,2017,15,50-54 years,102.586294079499,85.4972231126411,120.35848513441437,10805484.44915016,8393233.233790655,13772625.471182564,1.080548444915016e-5,8.393233233790655e-6,1.3772625471182564e-5
40,Turkmenistan,TKM,Central Asia,2017,16,55-59 years,146.80835925760726,125.3127892272556,173.39764091960373,18596173.792853985,14680416.393759245,24031905.059413042,1.8596173792853985e-5,1.4680416393759245e-5,2.4031905059413042e-5
40,Turkmenistan,TKM,Central Asia,2017,17,60-64 years,151.19146818521293,127.35468079180428,177.2618161784054,23367449.453602985,17977768.553061888,30239478.68866694,2.3367449453602986e-5,1.7977768553061887e-5,3.0239478688666938e-5
40,Turkmenistan,TKM,Central Asia,2017,18,65-69 years,104.0467807846102,87.90432145996199,121.82150943750052,19807916.659183424,15144157.160461595,25933305.515984323,1.9807916659183423e-5,1.5144157160461595e-5,2.5933305515984324e-5
40,Turkmenistan,TKM,Central Asia,2017,19,70-74 years,53.019475296572296,45.10817980933827,63.81540011818856,12540982.65771652,9522156.412323292,17042942.92195495,1.254098265771652e-5,9.522156412323292e-6,1.704294292195495e-5
40,Turkmenistan,TKM,Central Asia,2017,20,75-79 years,48.26563977899816,39.96037421377657,56.8679013629768,14464273.975795424,10575534.933977198,19347336.843026064,1.4464273975795424e-5,1.0575534933977198e-5,1.9347336843026063e-5
40,Turkmenistan,TKM,Central Asia,2017,30,80-84 years,19.67363907098519,16.500854762911214,24.36033870359671,7509324.775885897,5559227.067530801,10713240.747323118,7.5093247758858965e-6,5.559227067530801e-6,1.0713240747323118e-5
40,Turkmenistan,TKM,Central Asia,2017,31,85-89 years,4.526947582176499,3.641000882738474,5.63889165732061,2109635.4533018004,1477581.7600512833,3039273.1931810714,2.1096354533018002e-6,1.4775817600512834e-6,3.0392731931810714e-6
40,Turkmenistan,TKM,Central Asia,2017,32,90-94 years,1.552452165386189,1.2247779598413395,1.9252038832467204,924428.6062489909,620018.6877369098,1356757.6004060714,9.244286062489908e-7,6.200186877369098e-7,1.3567576004060714e-6
40,Turkmenistan,TKM,Central Asia,2017,235,95+ years,0.3941086112227447,0.2740417665899717,0.4979606976208711,261546.4760330138,152519.24228988405,409135.28473203786,2.6154647603301383e-7,1.5251924228988405e-7,4.0913528473203786e-7
40,Turkmenistan,TKM,Central Asia,2018,1,<5 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2018,6,5-9 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2018,7,10-14 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2018,8,15-19 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2018,9,20-24 years,2.44640896401552,2.096316246889921,2.851958123774718,126256.63121723219,103427.92519671333,155376.58786404767,1.262566312172322e-7,1.0342792519671333e-7,1.5537658786404768e-7
40,Turkmenistan,TKM,Central Asia,2018,10,25-29 years,5.36409300740514,4.4569766442612995,6.452134188067582,306899.97503302875,243053.37887259971,391170.1482333396,3.0689997503302877e-7,2.430533788725997e-7,3.911701482333396e-7
40,Turkmenistan,TKM,Central Asia,2018,11,30-34 years,9.540354961318975,7.902403464605245,11.12475431847913,610621.060816285,480345.2793987659,757326.4728807693,6.10621060816285e-7,4.803452793987659e-7,7.573264728807692e-7
40,Turkmenistan,TKM,Central Asia,2018,12,35-39 years,18.113216989429823,15.262580750453484,21.32160267493941,1311237.4970936296,1044977.7473467424,1649145.8209624544,1.3112374970936295e-6,1.0449777473467425e-6,1.6491458209624545e-6
40,Turkmenistan,TKM,Central Asia,2018,13,40-44 years,33.8066120571868,28.37363144057069,39.95701051264846,2802384.4867753848,2214141.790610546,3564709.3943411224,2.802384486775385e-6,2.214141790610546e-6,3.5647093943411225e-6
40,Turkmenistan,TKM,Central Asia,2018,14,45-49 years,59.16947744029916,49.72482637609641,69.98917239311052,5694813.519836147,4481747.50850651,7300093.966780476,5.694813519836147e-6,4.48174750850651e-6,7.300093966780477e-6
40,Turkmenistan,TKM,Central Asia,2018,15,50-54 years,100.73231958759604,83.82443993968737,118.93204852217262,11446709.02171669,8876036.007880747,14730487.873363238,1.144670902171669e-5,8.876036007880747e-6,1.4730487873363238e-5
40,Turkmenistan,TKM,Central Asia,2018,16,55-59 years,150.83590613318097,129.5415908192843,180.66534234178204,20603179.21401327,16387169.918451002,27107653.09630177,2.060317921401327e-5,1.6387169918451e-5,2.710765309630177e-5
40,Turkmenistan,TKM,Central Asia,2018,17,60-64 years,158.0156141824511,133.4319617507241,186.3592117235724,26326374.400398865,20349339.19123965,34411811.95147224,2.6326374400398866e-5,2.034933919123965e-5,3.4411811951472237e-5
40,Turkmenistan,TKM,Central Asia,2018,18,65-69 years,115.79262945189764,97.84007075857654,135.68459123555326,23750588.034021266,18215773.12138919,31182681.59937957,2.3750588034021264e-5,1.821577312138919e-5,3.118268159937957e-5
40,Turkmenistan,TKM,Central Asia,2018,19,70-74 years,53.0179503836414,45.25501808030162,61.89317325592913,13503645.40849327,10295594.52594398,17751180.078287717,1.3503645408493269e-5,1.0295594525943979e-5,1.7751180078287717e-5
40,Turkmenistan,TKM,Central Asia,2018,20,75-79 years,46.81145091852945,38.720754421760475,55.49252222884221,15100982.072152575,11053028.041949064,20542645.37796388,1.5100982072152576e-5,1.1053028041949063e-5,2.0542645377963877e-5
40,Turkmenistan,TKM,Central Asia,2018,30,80-84 years,20.414111544507566,17.136876343304184,25.23891248869032,8388544.888076655,6216185.849478496,11885120.464701682,8.388544888076655e-6,6.216185849478496e-6,1.1885120464701683e-5
40,Turkmenistan,TKM,Central Asia,2018,31,85-89 years,4.641643681724608,3.6726433896602706,5.842636329584163,2328963.726519332,1603176.7497488402,3413586.057157585,2.328963726519332e-6,1.6031767497488402e-6,3.413586057157585e-6
40,Turkmenistan,TKM,Central Asia,2018,32,90-94 years,1.6932043181104763,1.3120856719937322,2.1183957459771183,1084473.4390040466,713301.3582965893,1617675.279876612,1.0844734390040465e-6,7.133013582965893e-7,1.617675279876612e-6
40,Turkmenistan,TKM,Central Asia,2018,235,95+ years,0.4099469109057909,0.2793962790482804,0.5246759836603329,292166.5645753216,164781.8532644925,466678.46003572166,2.9216656457532164e-7,1.647818532644925e-7,4.666784600357217e-7
40,Turkmenistan,TKM,Central Asia,2019,1,<5 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2019,6,5-9 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2019,7,10-14 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2019,8,15-19 years,0,0,0,0,0,0,0,0,0
