Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Late-demographic dividend,LTE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1.22363E+13,1.21391E+13,1.18815E+13,1.21412E+13,1.23878E+13,1.29399E+13,1.34751E+13,1.41229E+13,1.4353E+13,1.50003E+13,1.60608E+13,1.68639E+13,1.78425E+13,1.90491E+13,2.05629E+13,2.20931E+13,2.40757E+13,2.64309E+13,2.81895E+13,2.88765E+13,3.10482E+13,3.31293E+13,3.4979E+13,3.67887E+13,3.85425E+13,4.00803E+13,4.16856E+13,4.37671E+13,4.60424E+13,4.81127E+13,4.80066E+13,5.14728E+13,5.30713E+13,5.53339E+13,5.77849E+13
Latin America & Caribbean,LCN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6286.92128,6613.566036,6844.997606,7042.477684,7409.492175,7539.908827,7819.110715,8247.477227,8428.74269,8428.940063,8811.523198,8946.280262,8986.439578,9227.637919,9921.47954,10556.70824,11465.68704,12273.32654,12892.54654,12655.53023,13447.35721,14346.92788,14661.83164,15145.69657,15463.03005,15252.53905,15513.34143,16158.87193,16859.64886,17283.83558,16631.70154,18654.76512,20813.05378,21909.53951,22806.45656
Latin America & Caribbean,LCN,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,5.49001E+12,5.6689E+12,5.83205E+12,6.1064E+12,6.42917E+12,6.48434E+12,6.73523E+12,7.10082E+12,7.31353E+12,7.3525E+12,7.61561E+12,7.6457E+12,7.68491E+12,7.87647E+12,8.29993E+12,8.62534E+12,9.06873E+12,9.54307E+12,9.89533E+12,9.67077E+12,1.0297E+13,1.07636E+13,1.10477E+13,1.13639E+13,1.15307E+13,1.15874E+13,1.15638E+13,1.17894E+13,1.19856E+13,1.20764E+13,1.12823E+13,1.21113E+13,1.2602E+13,1.2891E+13,1.3181E+13
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6199.840319,6486.76181,6670.270571,6856.807329,7253.763693,7339.147275,7624.725652,8028.314562,8202.008973,8224.505587,8597.711394,8692.901536,8778.722485,9060.387716,9667.081536,10250.67158,11062.15758,11818.69833,12453.95924,12244.51797,13070.8796,13942.90899,14216.06233,14677.69356,14971.31098,14724.4924,14938.47849,15540.32085,16207.50947,16564.82506,15929.16456,17833.33748,19918.97627,20919.08979,21709.34076
Latin America & Caribbean (excluding high income),LAC,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4.83421E+12,4.98526E+12,5.10652E+12,5.34429E+12,5.62888E+12,5.65452E+12,5.87093E+12,6.18295E+12,6.35603E+12,6.38045E+12,6.60776E+12,6.61709E+12,6.64278E+12,6.80166E+12,7.15795E+12,7.43771E+12,7.82162E+12,8.23449E+12,8.54086E+12,8.33507E+12,8.89285E+12,9.29396E+12,9.5175E+12,9.78907E+12,9.92715E+12,9.96196E+12,9.92399E+12,1.01242E+13,1.02871E+13,1.03587E+13,9.68572E+12,1.03769E+13,1.07875E+13,1.1028E+13,1.12506E+13
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6268.708438,6594.458891,6821.628347,7013.032522,7376.592296,7498.965127,7775.651263,8199.95259,8372.575729,8360.449653,8737.296933,8857.776126,8893.111633,9133.559169,9813.621952,10453.05107,11367.8998,12179.73486,12804.71204,12568.71343,13366.9437,14271.44849,14588.79573,15077.13418,15395.65523,15182.05585,15445.58525,16098.40839,16795.46348,17205.78051,16552.48557,18567.0149,20711.35762,21800.80306,22685.60678
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,5.29017E+12,5.46411E+12,5.62019E+12,5.88495E+12,6.19735E+12,6.24588E+12,6.48948E+12,6.84277E+12,7.04431E+12,7.07445E+12,7.32785E+12,7.34762E+12,7.38445E+12,7.57324E+12,7.97583E+12,8.29927E+12,8.73789E+12,9.20661E+12,9.55697E+12,9.3408E+12,9.95894E+12,1.04197E+13,1.07002E+13,1.10129E+13,1.1179E+13,1.12363E+13,1.12148E+13,1.14411E+13,1.16399E+13,1.17268E+13,1.09556E+13,1.17689E+13,1.2246E+13,1.25289E+13,1.28091E+13
Least developed countries: UN classification,LDC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,943.1932168,972.5826071,980.0630537,982.4095067,984.6573414,1035.425836,1085.23556,1137.204598,1167.579373,1205.850997,1260.747092,1323.452213,1381.914116,1450.241937,1549.797413,1678.964548,1809.430656,1950.94971,2070.071532,2125.004527,2234.495253,2315.162226,2382.331094,2506.232088,2665.178604,2732.114869,2860.155287,2988.21389,3213.417571,3416.048022,3453.152588,3666.728362,4032.432248,4219.890238,4393.993348
Least developed countries: UN classification,LDC,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,9.88929E+11,1.00599E+12,1.01116E+12,1.01122E+12,1.0166E+12,1.07472E+12,1.13535E+12,1.19628E+12,1.24388E+12,1.29746E+12,1.35628E+12,1.42438E+12,1.50374E+12,1.58559E+12,1.6917E+12,1.82294E+12,1.95647E+12,2.10774E+12,2.25035E+12,2.3532E+12,2.50191E+12,2.62853E+12,2.75769E+12,2.91728E+12,3.09311E+12,3.25504E+12,3.41369E+12,3.59413E+12,3.77895E+12,3.98728E+12,3.99059E+12,4.09882E+12,4.30403E+12,4.44822E+12,4.62739E+12
Low & middle income,LMY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2349.189815,2460.570371,2568.983985,2680.129749,2804.141105,2947.798456,3131.604357,3296.353569,3331.403761,3456.224767,3674.687668,3841.49181,4023.638718,4277.911211,4662.429498,5077.106287,5585.533528,6139.456052,6535.584879,6759.025381,7284.262543,7788.376382,8247.04663,8629.295253,8925.666268,9061.67577,9402.90293,9876.465567,10503.86616,11066.24613,11064.51131,12322.54918,13694.3562,14750.90103,15611.85115
